"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Cys2",2.66776948070698,3.34128878281623,"Cys","2",-0.448873551671233
"CLIP-1902",21.0278932607365,33.1742243436754,"CLIP-190","2",0.27660465423799
"DIP-alpha2",60.5816204600657,30.9069212410501,"DIP-alpha","2",1.28597087300421
"CG59532",2.73316018189639,11.2171837708831,"CG5953","2",0.398084736658254
"dally2",2.60663381643863,12.1718377088305,"dally","2",0.74173397017919
"CG12132",1.20227178476998,2.50596658711217,"CG1213","2",-0.839298297759709
"Cip42",4.30306213758332,15.2744630071599,"Cip4","2",0.00937197306967351
"RapGAP12",2.07796337718802,9.06921241050119,"RapGAP1","2",-0.349116325606309
"apolpp3",190.92124220844,72.0657276995305,"apolpp","3",0.719369792328045
"GEFmeso3",0.884792771304538,3.28638497652582,"GEFmeso","3",-0.434891790434524
"CG313133",5.03230691156136,5.39906103286385,"CG31313","3",-0.37609812275628
"mgl3",1.78444947696355,4.46009389671362,"mgl","3",-0.31911307511043
"tyf3",2.77688681016201,9.85915492957746,"tyf","3",1.14484821074997
"dnc3",37.3331367321969,48.3568075117371,"dnc","3",0.625258376432354
"shi3",2.6571142927766,10.5633802816901,"shi","3",-0.0677129616155538
"Prat23",8.7131396132125,14.0845070422535,"Prat2","3",2.30592942406034
"flw3",4.87336954164009,17.3708920187793,"flw","3",0.384952714594152
"Men3",15.8358657566051,20.4225352112676,"Men","3",1.83447787356251
"Cpr49Ae3",0.273053775888969,0.469483568075117,"Cpr49Ae","3",-0.430025513295633
"CG400063",3.4206658901856,12.4413145539906,"CG40006","3",1.79371235070987
"Cys3",3.83142732011354,4.46009389671362,"Cys","3",-0.395692646919651
"CLIP-1903",32.2265855158424,43.6619718309859,"CLIP-190","3",1.21861758238114
"DIP-alpha3",52.4139977338521,31.4553990610329,"DIP-alpha","3",0.835498731938452
"CG59533",2.28681549730406,8.45070422535211,"CG5953","3",0.113040692544132
"dally3",2.82136437305926,10.093896713615,"dally","3",0.922992505688974
"CG12133",8.82944622345745,13.6150234741784,"CG1213","3",1.81532070621023
"Cip43",3.64442839360803,11.2676056338028,"Cip4","3",-0.175135542484289
"RapGAP13",1.17334348671138,3.75586854460094,"RapGAP1","3",-0.435445700268632
"apolpp4",153.289380658315,67.910447761194,"apolpp","4",0.390324639015257
"GEFmeso4",0.351774004242714,2.23880597014925,"GEFmeso","4",-0.692224575640174
